ID,Length (ft),B,H,MIN FX,MAX FX,MIN FY,MAX FY,MIN FZ,MAX FZ,MIN MX,MAX MX,MIN MY,MAX MY,MIN MZ,MAX MZ,AREA TOP,AREA BOTTOM,STIRRUP SPACING,BAR TYPE TOP,BAR COUNT TOP,BAR TYPE BOTTOM,BAR COUNT BOTTOM,EFFICIENCY MIN MY,EFFICIENCY MAX MY
95,87.0,16.0,32.0,-0.9,1.44,-1.05,1.06,-25.22,24.31,-25.61,21.93,-124.88,92.88,-1.97,1.26,1.7671458676442586,1.5707963267948966,1.92786549197775,6,4,8,2,0.550040586224463,0.457501303208749
96,87.0,16.0,32.0,-0.56,1.55,-0.2,0.2,-34.06,32.65,-5.59,4.34,-136.08,80.72,-0.34,0.25,2.0,1.5707963267948966,0.161059414702019,9,2,8,2,0.532566230827140,0.397557506653496
97,87.0,16.0,32.0,-0.89,1.44,-1.29,1.34,-22.93,22.33,-25.26,30.08,-111.47,74.02,-1.53,2.52,1.7671458676442586,1.325359400733194,2.65299642230090,6,4,6,3,0.491004944948244,0.427985413949165
98,33.0,18.0,18.0,13.37,42.73,-6.48,12.22,1.27,17.05,-0.04,1.45,-104.65,82.81,-71.62,62.77,1.803961406553514,1.5339807878856413,5.41005337888440,7,3,5,5,0.877955034747305,0.802794707479079
99,33.0,18.0,18.0,25.73,145.45,-11.12,12.9,-0.18,25.52,-0.12,1.44,-190.43,90.25,-77.01,70.05,3.796875,1.5339807878856413,1.54012186951329,10,3,5,5,0.808298420696396,0.872728290550414
100,33.0,18.0,18.0,28.01,149.34,-12.97,11.03,-0.36,31.87,-0.14,1.42,-246.02,108.06,-66.42,78.43,4.6875,2.0,0.0120360806407565,11,3,9,2,0.860264941416437,0.825199742225891
101,33.0,18.0,18.0,24.84,145.76,-15.38,8.78,0.47,26.48,-0.22,1.41,-200.13,91.02,-76.04,96.0,3.796875,1.5707963267948966,1.25770053285420,10,3,8,2,0.849372264321281,0.862034742825338
102,33.0,18.0,18.0,17.65,117.22,-16.29,4.66,-0.16,19.65,-0.29,1.5,-152.5,63.6,-85.42,93.67,3.0,1.1780972450961724,3.86724733384117,9,3,4,6,0.803561537681234,0.773322281469494
103,58.0,16.0,32.0,-5.49,3.95,-2.55,2.02,-24.32,24.52,-19.96,8.78,-148.42,73.56,-3.2,4.4,2.0,1.325359400733194,1.85782667658969,9,2,6,3,0.580849591707517,0.425212636788612
104,26.0,16.0,32.0,1.95,9.91,0.01,0.24,-27.88,38.39,-5.55,7.63,-204.18,114.85,-0.39,0.39,2.405281875404685,1.7671458676442586,1.07146626439231,7,4,6,4,0.669541720678000,0.505791920369541
105,26.0,16.0,32.0,2.65,13.61,-0.13,0.07,-28.15,36.97,-7.37,6.29,-198.99,104.56,-0.15,0.27,2.356194490192345,1.5707963267948966,0.872561262916443,8,3,8,2,0.665553440481093,0.514896698769137
106,26.0,16.0,32.0,2.07,9.59,-0.29,0.06,-27.09,33.84,-10.2,7.58,-181.28,99.43,-0.36,0.58,2.356194490192345,1.5707963267948966,0.375179961289034,8,3,8,2,0.606319552190625,0.489634456375433
107,26.0,16.0,32.0,2.48,12.72,-1.1,0.71,-18.46,22.96,-20.02,17.07,-138.83,62.94,-2.06,0.27,2.0,1.227184630308513,2.40870688632313,9,2,5,4,0.543314077025609,0.390998946678581
108,58.0,16.0,32.0,-2.07,3.96,-1.11,1.15,-18.26,20.34,-13.01,5.97,-111.66,49.63,-1.51,1.85,1.7671458676442586,1.2026409377023426,3.52403687856338,6,4,7,2,0.491858991283506,0.314297227287905
109,26.0,16.0,32.0,-4.02,-0.69,-0.64,0.75,-19.28,20.22,-18.25,14.51,-90.68,77.28,-0.26,0.89,1.5707963267948966,1.5707963267948966,3.58204303214536,8,2,8,2,0.446716995333934,0.380704558881853
110,26.0,16.0,32.0,-3.49,-0.18,-0.07,0.07,-27.94,32.6,-8.19,6.24,-140.56,120.58,-0.11,0.14,2.0,1.7671458676442586,0.151720548773647,9,2,6,4,0.550106348968388,0.531057611809664
111,26.0,16.0,32.0,-3.78,-0.36,-0.06,0.04,-27.56,36.29,-4.78,3.52,-163.07,128.71,-0.14,0.11,2.356194490192345,1.7671458676442586,0.771799115183822,8,3,6,4,0.545430002698187,0.566834066541463
112,26.0,16.0,32.0,-3.43,-0.3,-0.06,0.05,-27.3,37.5,-2.06,2.84,-173.19,130.56,-0.14,0.1,2.356194490192345,1.803961406553514,0.948562397067223,8,3,7,3,0.579282227333574,0.563812992832388
113,58.0,16.0,32.0,0.2,26.49,-1.21,6.09,-12.68,16.02,-12.22,5.13,-69.17,40.82,-5.68,12.48,1.325359400733194,1.2026409377023426,6.15973221660294,6,3,7,2,0.400305580027513,0.258745548624724
114,26.0,16.0,32.0,1.39,6.4,-1.14,1.36,-19.62,19.58,-15.67,13.01,-52.53,99.63,-2.08,1.08,1.2026409377023426,1.5707963267948966,3.90341726812968,7,2,8,2,0.332785003282881,0.490944332154781
115,26.0,16.0,32.0,1.66,8.17,-0.36,0.5,-28.81,30.9,-6.38,4.48,-89.07,149.19,-0.91,0.71,1.5707963267948966,2.0,0.183783498704825,8,2,9,2,0.438682446947806,0.583873868144481
116,26.0,16.0,32.0,1.56,9.83,-0.41,0.12,-29.33,33.72,-2.45,1.05,-105.02,160.38,-0.68,0.65,1.5707963267948966,2.356194490192345,0.354273128411059,8,2,8,3,0.517161929081243,0.536416205760881
117,26.0,16.0,32.0,1.58,10.84,-0.26,0.06,-28.82,34.4,0.23,2.38,-110.38,161.43,-0.55,0.59,1.7671458676442586,2.356194490192345,0.470816566570375,6,4,8,3,0.486109426344858,0.539944596403804
118,67.0,16.0,32.0,-12.3,16.35,-1.45,1.59,-30.11,33.86,-29.44,27.84,-158.02,143.04,-2.5,3.22,2.0,2.0,0.378650026285319,9,2,9,2,0.618447417228707,0.559819760539136
